City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
308,Bambous Virieux,MU,-20.3428,57.7575,67.21,94,75,3.44,broken clouds
309,Haapiti,PF,-17.5667,-149.8667,82.13,78,32,9.19,moderate rain
310,Viedma,AR,-40.8135,-62.9967,49.06,97,100,5.39,overcast clouds
311,Mitu,CO,1.1983,-70.1733,71.44,98,15,0.45,few clouds
312,Wanning,CN,18.8003,110.3967,84.96,73,25,2.84,scattered clouds
313,Zhovtneve,UA,50.6637,24.2492,60.58,97,100,9.04,overcast clouds
314,Guaca,CO,6.8762,-72.8559,56.48,91,95,4.03,overcast clouds
315,Kisesa,TZ,-3.0833,34.15,62.17,65,71,8.19,broken clouds
316,Clyde River,CA,70.4692,-68.5914,39.43,100,100,0.0,overcast clouds
317,Rio Gallegos,AR,-51.6226,-69.2181,21.25,93,0,3.44,clear sky
318,Toora-Khem,RU,52.4675,96.11,51.58,77,99,0.51,overcast clouds
319,Shaowu,CN,27.3409,117.4831,90.23,56,96,2.33,overcast clouds
320,Yulara,AU,-25.2406,130.9889,53.11,40,0,12.66,clear sky
321,Ende,ID,-8.8432,121.6623,80.51,60,68,1.12,broken clouds
322,Fortuna,US,40.5982,-124.1573,65.93,76,36,3.0,scattered clouds
323,Grants Pass,US,42.439,-123.3284,107.37,24,0,1.99,clear sky
324,Grand Gaube,MU,-20.0064,57.6608,67.37,78,13,3.0,few clouds
325,Ambulu,ID,-8.345,113.6058,77.99,74,15,1.88,few clouds
326,Stryn,NO,61.9045,6.7226,53.15,96,100,4.97,overcast clouds
327,Genhe,CN,50.7833,121.5167,75.33,67,100,5.06,light rain
328,Hohhot,CN,40.8106,111.6522,68.29,73,20,4.47,few clouds
329,Nurota,UZ,40.5614,65.6886,77.32,41,5,13.13,clear sky
330,Aswan,EG,24.0934,32.907,87.1,15,0,5.75,clear sky
331,Urusha,RU,54.05,122.9,75.47,69,100,8.97,light rain
332,Baghdad,IQ,33.3406,44.4009,80.51,29,0,3.44,clear sky
333,Kluang,MY,2.0251,103.3328,78.62,89,51,2.77,broken clouds
334,Srivardhan,IN,18.0333,73.0167,78.44,85,100,4.16,overcast clouds
335,Kuusamo,FI,65.9667,29.1833,64.44,82,100,11.5,overcast clouds
336,Charters Towers,AU,-20.1,146.2667,71.58,49,0,11.5,clear sky
337,Constitucion,CL,-35.3333,-72.4167,51.42,93,99,5.84,overcast clouds
338,San Pedro,PH,14.35,121.0167,86.32,77,20,1.14,few clouds
339,Mastic Beach,US,40.7668,-72.8521,75.97,80,0,11.99,clear sky
340,Mitsamiouli,KM,-11.3847,43.2844,75.65,70,1,5.21,clear sky
341,Vila Do Maio,CV,15.1333,-23.2167,79.59,84,100,7.31,overcast clouds
342,Tilichiki,RU,60.4667,166.1,51.57,85,100,2.73,light rain
